,title,url,source,news_desk,type_of_material,first_paragraph,date,word_count,day_of_week
142,"Denouncing Dark Money, Then Deploying It in 2020",https://www.nytimes.com/2022/01/29/us/politics/democrats-dark-money-donors.html,New York Times,Politics,News,"For much of the last decade, Democrats complained — with a mix of indignation, frustration and envy — that Republicans and their allies were spending hundreds of millions of difficult-to-trace dollars to influence politics.",2022-01-29 17:00:11+00:00,2806.0,Saturday
143,Trump Suggests He May Pardon Jan. 6 Rioters if He Has Another Term,https://www.nytimes.com/2022/01/30/us/politics/trump-speech-texas.html,New York Times,Politics,News,"CONROE, Texas — Donald J. Trump said on Saturday that if elected to a new term as president, he would consider pardoning those prosecuted for attacking the United States Capitol on Jan. 6 last year.",2022-01-30 05:32:24+00:00,848.0,Sunday
144,A Judge With a View of Justice Shaped by Family,https://www.nytimes.com/2022/01/30/us/politics/supreme-court-ketanji-brown-jackson.html,New York Times,Washington,News,Follow the latest updates on Judge Ketanji Brown Jackson’s Supreme Court confirmation hearings.,2022-01-30 17:45:49+00:00,1856.0,Sunday
145,Election Deniers Seek State Posts to Certify Votes,https://www.nytimes.com/2022/01/30/us/politics/election-deniers-secretary-of-state.html,New York Times,Politics,News,"PHOENIX — Nearly two dozen Republicans who have publicly questioned or disputed the results of the 2020 election are running for secretary of state across the country, in some cases after being directly encouraged by allies of former President Donald J. Trump.",2022-01-30 19:48:54+00:00,1823.0,Sunday
146,"As Trump Re-emerges, His Base Shows Fractures",https://www.nytimes.com/2022/01/31/us/politics/trump-grip-republicans-polls.html,New York Times,Politics,News,"About halfway into his Texas rally on Saturday evening, Donald J. Trump pivoted toward the teleprompter and away from a meandering set of grievances to rattle off a tightly prepared list of President Biden’s failings and his own achievements.",2022-01-31 10:00:23+00:00,1724.0,Monday
147,Georgia Prosecutor in Inquiry  Of Trump Seeks Security Help,https://www.nytimes.com/2022/01/31/us/trump-fbi-georgia.html,New York Times,National,News,"ATLANTA — The district attorney in Fulton County, Ga., who is conducting a criminal investigation of former President Donald J. Trump has asked for an F.B.I. risk assessment of the county courthouse in downtown Atlanta, citing “alarming” rhetoric used by Mr. Trump at a rally in Texas over the weekend.",2022-01-31 15:21:30+00:00,476.0,Monday
148,"After Trump-Era Turbulence, 2 Top New York Public Prosecutors Go Back to Private Practice",https://www.nytimes.com/2022/01/31/business/audrey-strass-cyrus-vance.html,New York Times,Business,News,"Audrey Strauss and Cyrus R. Vance Jr., two prosecutors in New York whose offices have tangled with former President Donald J. Trump, are heading back to private legal practice.",2022-01-31 15:41:16+00:00,667.0,Monday
149,Biden to Reinstate Air Pollution Rules Weakened Under Trump,https://www.nytimes.com/2022/01/31/climate/epa-mercury-pollution-coal.html,New York Times,Climate,News,"WASHINGTON — The Biden administration on Monday reinstated a way of measuring the benefits of reducing air pollution, the first step in a plan that could tighten limits on the amount of mercury that can be discharged from coal-burning power plants.",2022-01-31 19:14:02+00:00,1002.0,Monday
150,The Democrats’ Use of Dark Money,https://www.nytimes.com/2022/01/31/opinion/letters/democrats-dark-money.html,New York Times,Letters,Letter,To the Editor:,2022-01-31 20:51:50+00:00,855.0,Monday
151,Trump Ally Asks for Lobbying Charges to Be Dismissed,https://www.nytimes.com/2022/01/31/nyregion/thomas-barrack-trump.html,New York Times,Metro,News,"Thomas J. Barrack Jr., a real-estate investor and close friend of former President Donald J. Trump, asked a federal judge to dismiss the foreign lobbying and obstruction of justice charges against him on Monday, contending that the Justice Department delayed prosecuting him until after Mr. Trump left office.",2022-01-31 22:43:28+00:00,729.0,Monday
152,How DeSantis Gamed The Media as He Rose,https://www.nytimes.com/2022/01/31/us/politics/desantis-media.html,New York Times,Politics,News,"If Gov. Ron DeSantis of Florida somehow becomes the Republican Party’s presidential nominee in 2024, two factors will help explain why: his mastery of his party’s hostile relationship with the mainstream media, and his relentless courtship of Fox News.",2022-02-01 00:03:51+00:00,1612.0,Tuesday
153,U.S. and Allies May Revive 2015 Nuclear Deal With Iran,https://www.nytimes.com/2022/01/31/us/politics/iran-nuclear-deal-biden.html,New York Times,Washington,News,"WASHINGTON — The United States and its European allies appear on the cusp of restoring the deal that limited Iran’s nuclear program, Biden administration officials said on Monday, but cautioned that it is now up to the new government in Tehran to decide whether, after months of negotiations, it is willing to dismantle much of its nuclear production equipment in return for sanctions relief.",2022-02-01 00:27:13+00:00,1317.0,Tuesday
154,,https://www.nytimes.com/2022/01/31/us/politics/trump-campaign-filing.html,New York Times,Politics,News,"Donald J. Trump’s political operation raised more than $51 million in the second half of 2021 as the former president continued to dominate the Republican fund-raising landscape in his first year out of the White House, according to new federal filings.",2022-02-01 00:57:10+00:00,643.0,Tuesday
155,Top Pence Aide Spoke to Jan. 6 Panel in Closed Session,https://www.nytimes.com/2022/01/31/us/politics/marc-short-mike-pence.html,New York Times,Washington,News,Follow live updates on the House committee hearing on the Jan. 6 attack on the Capitol.,2022-02-01 00:58:17+00:00,699.0,Tuesday
156,Trump Sought Ways to Seize Vote Machines,https://www.nytimes.com/2022/01/31/us/politics/donald-trump-election-results-fraud-voting-machines.html,New York Times,Washington,News,"Six weeks after Election Day, with his hold on power slipping, President Donald J. Trump directed his lawyer, Rudolph W. Giuliani, to make a remarkable call. Mr. Trump wanted him to ask the Department of Homeland Security if it could legally take control of voting machines in key swing states, three people familiar with the matter said.",2022-02-01 03:41:49+00:00,1448.0,Tuesday
157,,https://www.nytimes.com/2022/02/01/arts/television/trevor-noah-trump-pardon-capitol-rioters.html,New York Times,Culture,News,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",2022-02-01 06:34:53+00:00,606.0,Tuesday
158,Billionaires and Big Checks Shape Battle for Congress,https://www.nytimes.com/2022/02/01/us/politics/midterm-elections-campaign-financing.html,New York Times,Politics,News,Billionaires cut giant checks to super PACs. Small donors gave online in mass quantities. Multimillionaires poured money into their own campaigns. And both political parties announced record-setting hauls in 2021.,2022-02-01 10:00:10+00:00,1042.0,Tuesday
159,Jan. 6 Inquiry Looks at Trump’s Role in Effort to Seize Voting Machines,https://www.nytimes.com/2022/02/01/us/jan-6-panel-trump-voting-machines.html,New York Times,Washington,News,Follow live updates on the House committee hearing on the Jan. 6 attack on the Capitol.,2022-02-02 00:27:23+00:00,1634.0,Wednesday
