title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
He couldn't take Trump's lies anymore,2021-05-23,136.0,0.0014782608695652173,0.035652173913043476,0.006347826086956522,0.011124637681159422,0.142,0.756,0.102,-0.9985
Biden weathers his first foreign crisis after months focusing on domestic troubles,2021-05-22,137.0,0.009865671641791045,0.16259701492537312,0.006641791044776119,-0.014801492537313433,0.088,0.836,0.077,-0.9805
Kidney from Jew killed in mob violence goes to Arab woman,2021-05-22,138.0,0.0029999999999999996,0.01394915254237288,0.0,-0.01186949152542373,0.079,0.86,0.061,-0.8057
The week in 13 headlines,2021-05-21,139.0,0.0235,0.45775,0.01875,-0.044475,0.115,0.846,0.04,-0.9403
Jared Kushner's Middle East fantasy explodes,2021-05-20,140.0,0.001870967741935484,0.11048387096774193,0.016677419354838706,0.04837096774193548,0.11,0.774,0.116,0.599
Israeli forces in violent confrontations with Palestinians outside Jerusalem's Al Aqsa mosque after Gaza ceasefire,2021-05-21,141.0,0.020604651162790696,0.2455581395348837,0.03613953488372094,0.02474883720930233,0.088,0.846,0.066,-0.9842
"Biden, staring down first Mideast crisis, touts ceasefire",2021-05-20,142.0,0.07452631578947369,0.6668947368421051,0.07436842105263158,-0.0019736842105263206,0.1,0.778,0.122,0.9296
Israel and Palestinian militant group Hamas agree to a ceasefire,2021-05-20,143.0,0.006384615384615384,0.06656410256410257,0.0039743589743589745,0.0030641025641025654,0.135,0.771,0.094,-0.9952
New hopes of ceasefire deal as calls to end Israel-Palestinian conflict intensify,2021-05-20,144.0,0.01226829268292683,0.1342439024390244,0.02424390243902439,0.03191951219512195,0.147,0.746,0.106,-0.9962
The Trump-Netanyahu bromance deepened American Jews' divide on Israel,2021-05-18,145.0,0.004871794871794872,0.22692307692307692,0.02461538461538462,0.09321538461538462,0.059,0.853,0.089,0.9877
Sanders will introduce resolution disapproving $735 million US arms sale to Israel,2021-05-20,146.0,0.02676470588235294,0.08711764705882354,0.0037647058823529413,-0.07903529411764705,0.12,0.826,0.054,-0.9893
"5 things to know for May 20: Capitol riot, Covid-19, Gaza, policing, South China Sea",2021-05-20,147.0,0.0,0.019085106382978723,0.0021914893617021275,0.00723404255319149,0.107,0.816,0.077,-0.9861
Hamas predicts Mideast ceasefire is 'imminent' amid growing global pressure,2021-05-19,148.0,0.0,0.05273333333333334,0.013933333333333334,0.03926888888888889,0.149,0.775,0.075,-0.9984
Biden dramatically scales up the pressure on Netanyahu as decades-long relationship faces its most consequential moment,2021-05-19,149.0,0.040484374999999996,0.35706250000000006,0.04,-0.005704687499999992,0.089,0.812,0.099,0.9116
Israeli jets pound Gaza as rocket fire resumes and Palestinians hit streets to protest,2021-05-18,150.0,0.011941176470588235,0.058254901960784304,0.008254901960784313,-0.013686274509803923,0.129,0.813,0.058,-0.9988
Top Democrat reverses plan to send letter on Israel arms sale at urging of Biden administration,2021-05-18,151.0,0.04461764705882353,0.2690588235294118,0.00988235294117647,-0.1348235294117647,0.138,0.803,0.059,-0.9986
Biden mostly sticks to touting green energy and infrastructure during trip complicated by Middle East violence,2021-05-18,152.0,0.0013725490196078432,0.051686274509803926,0.005764705882352941,0.0157078431372549,0.094,0.829,0.077,-0.9924
Why Biden is not diving into Middle East peace brokering,2021-05-18,153.0,0.029810344827586207,0.19543103448275864,0.016120689655172413,-0.037506896551724137,0.128,0.748,0.124,-0.4694
